,page_id,status,date,type,operator,registration,msn,first_flight,crew,passengers,total,aircraft_damage,location,phase,nature,departure_airport,destination_airport,narrative,time,engines,collision_casualties,aircraft_fate,crash_site_elevation,flightnumber,total_airframe_hrs,ground_casualties,operating_for,leased_from,cycles,operated_by,on_behalf_of
10,19410310-1,Final,Monday 10 March 1941,Douglas DC-3-277C,American Airlines,NC15592,2248,1940,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 9,Fatalities: 0 / Occupants: 12,Substantial,"Cincinnati Municipal Airport, OH (LUK) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Chicago Municipal Airport, IL (MDW/KMDW), United States of America","Cincinnati Municipal Airport, OH (LUK/KLUK), United States of America","American Airlines Trip 20 departed Chicago Municipal Airport, IL on a flight to Washington, DC. The first intermediate stop was Cincinnati Municipal Airport, OH.An unexpected acceleration of a low pressure system resulted in the arrival of a storm front at Cincinnati coincidentally with the arrival of Trip 20 with resulting turbulence below 3000 feet, violent rain squalls and a ceiling of 1300 feet.When attempting to land on runway 6, the airplane ballooned after entering a sudden squall. The captain continued the landing and the aircraft contacted the ground to the left of the runway and rolled into a levee.",20:35,2 Wright R-1820-G102,,Repaired,,AA20,,,,,,,
11,19411114-0,,Friday 14 November 1941,Lockheed 14-H2 Super Electra,DETA Moçambique Airlines,CR-AAX,1508,1940,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Inhambane Airport (INH) (   Mozambique),Landing (LDG),Passenger,?,"Inhambane Airport (INH/FQIN), Mozambique","The Lockheed 14-H2 Super Electra named ""Zambeze"" suffered a runway excursion on landing. The aircraft caught fire, destroying the forward fuselage.",,,,,,,,,,,,,
12,19420512-1,,Tuesday 12 May 1942,Douglas DC-3A-269,Northwest Orient Airlines,NC21714,2129,1939,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Fatalities: 3 / Occupants: 14,Damaged beyond repair,"Miles City, MT (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Chicago (unknown airport), IL, United States of America","Miles City Municipal Airport, MT (MLS/KMLS), United States of America","Overran the runway, hit obstruction and crashed during attempt to go around.",11:51,,,,,,,,,,,,
13,19430718-2,,Sunday 18 July 1943,Lisunov PS-84,Aeroflot,CCCP-L4000,1842510,1942,Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 9,Fatalities: 0 / Occupants: 15,Damaged beyond repair,Osipovka (   Belarus),Takeoff (TOF),Military,?,?,"The aircraft was engaged in a mission to retrieve wounded soldiers from Belarus. Nine people were taken on board. Due to the soaked state of the landing site, the aircraft could not takeoff.  After unsuccessful takeoff attempts, the plane was camouflaged at the edge of the site, in a forest.During the night, the landing site was fired upon by the enemy. The plane received bullet holes. After eliminating the identified defects, the crew took off at 02:45. Some 3-5 seconds after lift-off, the left engine failed. The plane bounced over a hillock and a fence and fell to the ground. It ran 10 m and got stuck in a swamp. The navigator and flight engineer were seriously injured. The other occupants received minor injuries. After some 45 minutes, an enemy Focke-Wulf Fw 189 Uhu shot the aircraft, causing a fire.",,,,,,,,,,,,,
14,19440411-2,,Tuesday 11 April 1944,Douglas C-47A-10-DK (DC-3),Aeroflot,CCCP-L853,12410,1944,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Kolomyya (   Ukraine),Landing (LDG),Unknown,?,?,"During an attempted landing at Kolomyya in Ukraine, a Major-General who was in the cockpit interfered and forced the crew to change the landing direction to the opposite. The aircraft touched down late, overran the runway and fell down a slope.",,,,,,,,,,,,,
15,19440507-2,,Sunday 7 May 1944,Douglas Dakota III (DC-3),Royal Air Force - RAF,FL506,10024,1943,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Damaged beyond repair,Jorhat Airport (JRH) (   India),Landing (LDG),Military,?,"Jorhat-Rowriah Airport (JRH/VEJT), India","The Dakota III transport plane hit a train after it skidded off the runway on landing at Jorhat-Rowriah Airport, India.",,,,,,,,,,,,,
16,19440516-0,,Tuesday 16 May 1944,Douglas C-47A-5-DK (DC-3),Royal Australian Air Force - RAAF,A65-33,12359,1944,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 22,Fatalities: 0 / Occupants: 25,Damaged beyond repair,Port Moresby-Wards Airfield (   Papua New Guinea),Landing (LDG),Military,?,"Port Moresby-Wards Airfield, Papua New Guinea",The C-47 was landing at Port Moresby-Wards Airfield when it swung to starboard and struck a bank. It appeared that the tail wheel was unlocked on landing.,,2 Pratt & Whitney R-1830-92,,,,,,,,,,,
17,19441011-3,,Wednesday 11 October 1944,Douglas C-47A-80-DL (DC-3),United States Army Air Force - USAAF,43-15416,19882,1944,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Fatalities:  / Occupants:,Damaged beyond repair,"Angaur airstrip, Palau (   Palau)",Unknown (UNK),Military,?,?,"Overran strip, no further details.",,,,,,,,,,,,,
18,19441123-0,,Thursday 23 November 1944,Curtiss C-46D-5-CU Commando,United States Army Air Force - USAAF,42-101184,30639,1944,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 10,Fatalities: 0 / Occupants: 14,Damaged beyond repair,Kano Airport (KAN) (   Nigeria),Landing (LDG),Military,"Accra-Kotoka Airport (ACC/DGAA), Ghana","Kano International Airport (KAN/DNKN), Nigeria","During November 1944, the USAAF 4th Combat Cargo Group was directed to Asia. A total of 100 brand new C-46 transport aircraft were ferried from Baer Field, Fort Wayne, Indiana, to West Palm Beach, Puerto Rico, Georgetown, Belem, Ascension Island, Accra and Kano, Nigeria. Nearing Kano a problem was encountered with one of the engines and the pilot, shut the engine down and the crew radioed ahead for an emergency landing. During the approach a British Douglas Dakota cut ahead of the C-46 and the pilot tried to increase power on the remaining engine to lift it up. The remaining engine quit and the aircraft pancaked onto the runway. It skidded along the runway and then veered off into the vegetation alongside the runway.  As soon as the plane stopped, all the hatches were opened and the passengers and crew evacuated the plane. When the C-46 hit the runway, one of the main gear wheels tore off, flew back and tore a hole in the fuselage near the base of the stabilizer.",,,,,,,,,,,,,
19,19450221-0,,Wednesday 21 February 1945,Curtiss C-46A-40-CU Commando,United States Army Air Force - USAAF,42-107332,27019,1944,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Hsian (   China),Landing (LDG),Military,?,?,The C-46 overshot the runway and crashed into anti tank ditch at night.,,2 Pratt & Whitney R-2800-51,,,,,,,,,,,
20,19450305-1,,Monday 5 March 1945,Curtiss C-46A-40-CU Commando,United States Army Air Force - USAAF,42-61042,26917,1944,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Luliang (   China),Takeoff (TOF),Military,"Luliang Airstrip, China",?,Damaged beyond repair. On takeoff the pilot lost directional control in a strong cross-wind and ran off the runway into a ditch.,,2 Pratt & Whitney R-2800-51,,,,,,,,,,,
21,19450413-6,,Friday 13 April 1945,Douglas C-47A-15-DK (DC-3),United States Army Air Force - USAAF,42-108879,12638,1944,Fatalities: 1 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 1 / Occupants:,Damaged beyond repair,"Bankstown Airport, NSW (BWU) (   Australia)",Landing (LDG),Military,?,"Bankstown Airport, NSW (BWU/YSBK), Australia","Made a heavy landing at Bankstown and overshot runway 29, killing the flight engineer. The pilot was 2nd Lt George C. Fitzpatrick.",,,,,,,,,,,,,
22,19450817-1,,Friday 17 August 1945,Douglas C-47A-20-DL (DC-3),Royal Australian Air Force - RAAF,A65-7,9288,1943,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Damaged beyond repair,Tarakan Airport (TRK) (   Indonesia),Landing (LDG),Military,?,"Tarakan-Juwata Airport (TRK/WALR), Indonesia",Damaged beyond repair when it ran off the runway at Tarakan. Dual civil registration VHCTG.,,2 Pratt & Whitney R-1830-92,,,,,,,,,,,
23,19450913-0,,Thursday 13 September 1945,Lockheed 18-50 Lodestar,National Airlines,NC33349,18-2370,1943,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 11,Fatalities: 0 / Occupants: 14,Damaged beyond repair,"Tampa-Peter O. Knight Airport, FL (TPF) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Miami-36th Street Airport, FL (MIA/KMIA), United States of America","Tampa-Peter O. Knight Airport, FL (TPF/KTPF), United States of America","The Lodestar landed on a rain-soaked runway at Tampa-Peter O. Knight Airport, FL (TPF). Lack of deceleration forced the pilot to do a full left rudder and ground-loop the plane. It ran off the runway and came to rest with the nose in the water.",,,,,,,,,,,,,
24,19451016-0,,Tuesday 16 October 1945,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KN246,27116/15671,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Yangon-Mingaladon Airport (RGN) (   Myanmar),Takeoff (TOF),Military,"Yangon-Mingaladon Airport (RGN/VYYY), Myanmar",?,"The Dakota swung on takeoff and ran into some parked Spitfire planes. The Dakota caught fire and the Spitfire PR.11's PA959, PL779 and PL783 were damaged beyond repair.",,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
25,19451017-2,,Wednesday 17 October 1945,Douglas Dakota III (DC-3),Royal Air Force - RAF,KG514,12918,1944,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Welford RAF Station (   United Kingdom),Landing (LDG),Military,?,"Welford RAF Station, United Kingdom",The Dakota overran the runway at RAF Welford after the brakes failed on landing. The undercarriage was selected up in order to stop the plane.,,,,,,,,,,,,,
26,19451024-1,,Wednesday 24 October 1945,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KN678,33386/16638,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Arkonam (   India),Takeoff (TOF),Military,"Arkonam, India",?,"The airplane ran off the side of the runway on takeoff, ran into a ditch and caught fire.",,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
27,19451201-0,,Saturday 1 December 1945,Lockheed C-60A-1-LO Lodestar,Texaco,NC1622,18-2270,1942,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 7,Damaged beyond repair,"Pittsburgh-Allegheny County Airport, PA (AGC) (   United States of America)",Takeoff (TOF),Executive,"Pittsburgh-Allegheny County Airport, PA (AGC/KAGC), United States of America","Houston (unknown airport), TX, United States of America",The Lodestar swerved off the runway and went down an embankment before it burst into flames. The two crew and five passengers escaped injured.The accident happened after one engine had lost power during takeoff.,,,,,,,,,,,,,
28,19451230-0,Final,Sunday 30 December 1945,Douglas DC-3-201,Eastern Air Lines,NC18123,1999,1937,Fatalities: 0 / Occupants: 3,Fatalities: 1 / Occupants: 11,Fatalities: 1 / Occupants: 14,Damaged beyond repair,"New York-La Guardia Airport, NY (LGA) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Philadelphia International Airport, PA (PHL/KPHL), United States of America","New York-La Guardia Airport, NY (LGA/KLGA), United States of America","Eastern Air Lines' Flight 14 attempting to land at La Guardia Field, New York, was unable to stop within the boundary of the airport, crashed through a localizer building located at the end of the runway and came to rest in Flushing Bay.",21:13,,,,,14,21348,,,,,,
29,19460106-0,Final,Sunday 6 January 1946,Douglas DC-3-392,Pennsylvania-Central Airlines,NC21786,4131,1941,Fatalities: 3 / Occupants: 4,Fatalities: 0 / Occupants: 7,Fatalities: 3 / Occupants: 11,Damaged beyond repair,"Birmingham Airport, AL (BHM) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Knoxville Airport, TN (TYS/KTYS), United States of America","Birmingham Airport, AL (BHM/KBHM), United States of America",The DC-3 was high and fast on the approach after breaking through the clouds on an instrument approach to Birmingham. The aircraft touched down at the runway intersections and continued tail high off the runway. It ran through a perimeter fence and ended up in a creek.,03:59,2 Wright R-1820-G102A,,,,105,,,,,,,
30,19460109-1,,Wednesday 9 January 1946,Douglas Dakota III (DC-3),Royal Air Force - RAF,FD919,9686,1943,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Semarang Airport (SRG) (   Indonesia),Landing (LDG),Military,?,"Semarang Airport (SRG/WARS), Indonesia",The runway at Semarang was wet as the Dakota landed. It ran off the runway and ended up in a ditch.,,,,,,,,,,,,,
31,19460117-0,,Thursday 17 January 1946,Douglas Dakota III (DC-3),Royal Air Force - RAF,FD882,9534,1943,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Butterworth Airport (BWH) (   Malaysia),Landing (LDG),Military,?,"Butterworth Airport (BWH/WMKB), Malaysia","The tailwheel of the Dakota was not locked as it landed at Butterworth. The airplane lost control on the runway and ran into a ditch, collapsing the main gear.",,,,,,,,,,,,,
32,19460125-1,,Friday 25 January 1946,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KK112,26564/15119,1944,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Hmawbi RAF Station (   Myanmar),Landing (LDG),Military,?,?,One of the engines failed. The aircraft overran the runway after a downwind landing. The undercarriage separated as the aircraft ran over a ditch.,,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
33,19460130-3,,Wednesday 30 January 1946,Boeing B-17G,Det Danske Luftfartselskab - DDL,OY-DFE,21982,1942,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,København-Kastrup Airport (CPH) (   Denmark),Landing (LDG),Passenger,-,-,"Boeing B-17G OY-DFE went off the runway on landing at Kastrup Airport and ran into an RAF Douglas Dakota III (KG427, msn 12462). Both aircraft were damaged beyond repair.",,,,,,,,,,,,,
34,19460222-0,,Friday 22 February 1946,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KJ851,25790/14345,1944,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Bandung Airport (BDO) (   Indonesia),Landing (LDG),Military,?,"Bandung Airport (BDO/WICC), Indonesia",The aircraft overran the runway causing the landing gear to collapse.,,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
35,19460329-0,Final,Friday 29 March 1946,Lockheed L-049 Constellation,Transcontinental & Western Air - TWA,NC86510,2034,,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 9,Fatalities: 0 / Occupants: 12,Damaged beyond repair,"Washington-National Airport, DC (DCA) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"New York (unknown airport), NY, United States of America","Washington-National Airport, DC (DCA/KDCA), United States of America","The Constellation, named ""Star of Rome"", touched down fast, between 800 and 1,000 feet from the approach end of runway 27. Also, the flaps were still extending after touchdown. The aircraft ran off the runway, striking a concrete transformer house and ended up in a drainage ditch.",12:34,4 Wright R-3350 (739C18BA2),,,,955,489,,,,,,
36,19460504-0,,Saturday 4 May 1946,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KP271,33573/16825,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Alwar (   India),Landing (LDG),Military,?,"Alwar, India",The Dakota overshot while attempting to land at Alwar. It overran onto a road and the undercarriage broke away.,,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
37,19460507-0,,Tuesday 7 May 1946,Douglas Dakota III (DC-3),Royal Air Force - RAF,KG521,12925,1944,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Simra Airport (SIF) (   Nepal),Landing (LDG),Military,?,"Simra Airport (SIF/VNSI), Nepal",The Dakota overran the runway while attempting to land at Simra. The airplane fell down a 14-foot drop.,,,,,,,,,,,,,
38,19460528-1,,Tuesday 28 May 1946,Avro 685 York C.1,Royal Air Force - RAF,MW250,,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Stradishall RAF Station (   United Kingdom),Landing (LDG),Military,?,"Stradishall RAF Station, United Kingdom","The brakes failed on landing at RAF Stradishall. The York overran the runway and ran through a ditch, causing the undercarriage to collapse.",,4 Rolls-Royce Merlin,,,,,,,,,,,
39,19460529-1,,Wednesday 29 May 1946,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KN501,33027/16279,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Jakarta-Kemayoran Airport (JKT) (   Indonesia),Landing (LDG),Military,?,"Jakarta-Kemayoran Airport (JKT), Indonesia",The brakes failed on landing. The Dakota ran through a ditch and the main gear collapsed.,,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
40,19460620-0,,Thursday 20 June 1946,Douglas Dakota IV (DC-3),Royal Air Force - RAF,KN226,27094/15649,1945,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Semarang Airport (SRG) (   Indonesia),Landing (LDG),Military,?,"Semarang Airport (SRG/WARS), Indonesia",The wind changed while the Dakota was on final to Semarang. The aircraft overshot the runway and the undercarriage was raised to stop the plane. It ended up in a ditch,,2 Pratt & Whitney R-1830-90C,,,,,,,,,,,
41,19460726-1,,Friday 26 July 1946,Douglas C-47-DL (DC-3),Avianca,C-101,4688,1942,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Substantial,Honda (   Colombia),Landing (LDG),Test,?,?,The aircraft overran the runway and ran into some houses. The right hand main gear collapsed and the right hand engine separated.Two persons on the ground suffered serious injuries.,,,,Repaired,,,,,,,,,
42,19460808-0,,Thursday 8 August 1946,Douglas C-47A-85-DL (DC-3),Trans Caribbean Air Cargo Line,NC50040,19980,1944,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 20,Fatalities: 0 / Occupants: 23,Damaged beyond repair,"Lumberton Airport, NC (LBT) (   United States of America)",Landing (LDG),Non Scheduled Passenger,?,"Lumberton Airport, NC (LBT/KLBT), United States of America",The aircraft landed fast and long (at 3184 feet of the 5000 feet runway) in conditions of haze and ground fog. The DC-3 ran off the end of the runway and ended up in a marsh area.,,2 Pratt & Whitney R-1830-92,,,,,,,,,,,
43,19460830-0,,Friday 30 August 1946,Avro 691 Lancastrian C.3,British South American Airways - BSAA,G-AGWJ,1282,,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants: 6,Damaged beyond repair,Bathurst-Jeshwang Airport (   Gambia),Landing (LDG),International Scheduled Passenger,?,"Bathurst-Jeswang Airport, Gambia",The Lancastrian swung off the runway on landing and was damaged beyond repair.,,,,,,,,,,,,,
44,19460910-0,,Tuesday 10 September 1946,Ford 5-AT Tri-Motor,Shell Company of Ecuador,HC-SBI,,,Fatalities: 0 / Occupants: 1,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 3,Damaged beyond repair,Tiputini Airport (TPN) (   Ecuador),Takeoff (TOF),Unknown,"Tiputini Airport (TPN/SETI), Ecuador",?,Overran the runway carrying a load of cement.,,,,,,,,,,,,,
